v20.1.13.105-stable	2020-06-10
v20.1.12.86-stable	2020-05-27
v20.1.11.73-stable	2020-04-24
v20.1.10.70-stable	2020-04-17
v20.1.9.54-stable	2020-03-28
v20.1.8.41-stable	2020-03-20
v20.1.7.38-stable	2020-03-18
v20.1.6.30-stable	2020-03-05
v20.1.5.26-stable	2020-03-04
v20.1.4.14-stable	2020-02-10
v20.1.3.7-stable	2020-01-31
v20.1.2.4-stable	2020-01-22
v19.17.10.1-stable	2020-07-22
v19.17.9.60-stable	2020-02-10
v19.17.8.54-stable	2020-01-31
v19.17.7.52-stable	2020-01-22
v19.17.6.36-stable	2019-12-27
v19.17.5.18-stable	2019-12-06
v19.17.4.11-stable	2019-11-22
v19.17.3.7-stable	2019-11-16
v19.17.2.4-stable	2019-11-14
v19.16.19.85-stable	2020-04-27
v19.16.17.80-stable	2020-04-17
v19.16.16.72-stable	2020-03-25
v19.16.15.69-stable	2020-03-25
v19.16.14.65-stable	2020-03-05
v19.16.13.54-stable	2020-02-10
v19.16.12.49-stable	2020-02-06
v19.16.11.47-stable	2020-01-22
v19.16.10.44-stable	2019-12-29
v19.16.9.37-stable	2019-12-20
v19.16.8.34-stable	2019-12-19
v19.16.7.24-stable	2019-12-06
v19.16.6.17-stable	2019-11-30
v19.16.5.15-stable	2019-11-22
v19.16.4.12-stable	2019-11-16
v19.16.3.6-stable	2019-11-09
v19.16.2.2-stable	2019-10-30
v19.15.7.30-stable	2019-12-29
v19.15.6.21-stable	2019-11-22
v19.15.5.18-stable	2019-11-18
v19.15.4.10-stable	2019-10-31
v19.15.3.6-stable	2019-10-09
v19.15.2.2-stable	2019-10-01
v19.14.13.4-lts	2020-07-21
v19.14.12.2-lts	2020-07-06
v19.14.11.16-lts	2020-04-20
v19.14.10.16-lts	2019-12-29
v19.14.9.12-stable	2019-12-23
v19.14.8.9-lts	2019-12-16
v19.14.7.15-stable	2019-10-02
v19.14.6.12-stable	2019-09-19
v19.14.3.3-stable	2019-09-10
v19.13.7.57-stable	2019-11-06
v19.13.6.51-stable	2019-10-02
v19.13.5.44-stable	2019-09-20
v19.13.4.32-stable	2019-09-10
v19.13.3.26-stable	2019-08-22
v19.13.2.19-stable	2019-08-14
v19.13.1.11-stable	2019-08-07
v19.11.14.1-stable	2019-12-04
v19.11.13.74-stable	2019-11-01
v19.11.12.69-stable	2019-10-02
v19.11.11.57-stable	2019-09-13
v19.11.10.54-stable	2019-09-10
v19.11.9.52-stable	2019-09-06
v19.11.8.46-stable	2019-08-22
v19.11.7.40-stable	2019-08-14
v19.11.6.31-stable	2019-08-07
v19.11.5.28-stable	2019-08-05
v19.11.4.24-stable	2019-08-01
v19.11.3.11-stable	2019-07-18
v19.11.2.7-stable	2019-07-16
v19.10.1.5-stable	2019-07-12
v19.9.5.36-stable	2019-07-20
v19.9.4.34-stable	2019-07-10
v19.9.3.31-stable	2019-07-05
v19.9.2.4-stable	2019-06-24
v19.8.3.8-stable	2019-06-11
v19.7.5.29-stable	2019-07-05
v19.7.5.27-stable	2019-06-09
v19.7.3.9-stable	2019-05-05
v19.6.3.18-stable	2019-06-15
v19.6.2.11-stable	2019-04-30
v19.5.4.22-stable	2019-04-30
v19.5.3.8-stable	2019-04-17
v19.5.2.6-stable	2019-04-15
v19.4.5.35-stable	2019-05-05
v19.4.4.33-stable	2019-04-16
v19.4.3.11-stable	2019-04-01
v19.4.2.7-stable	2019-03-29
v19.4.1.3-stable	2019-03-19
v19.4.0.49-stable	2019-03-09
v19.3.9.12-stable	2019-04-01
v19.3.8.6-stable	2019-03-04
v19.3.7-stable	2019-03-11
v19.3.6-stable	2019-03-02
v19.3.5-stable	2019-02-20
v19.3.4-stable	2019-02-15
v19.3.3-stable	2019-02-13
v19.1.16.79-stable	2019-03-22
v19.1.15.73-stable	2019-03-04
v19.1.14-stable	2019-03-14
v19.1.13-stable	2019-03-12
v19.1.10-stable	2019-03-03
v19.1.9-stable	2019-02-20
v19.1.8-stable	2019-02-15
v19.1.7-stable	2019-02-13
v19.1.6-stable	2019-01-24
v19.1.5-stable	2019-01-22
v18.16.1-stable	2018-12-20
v18.16.0-stable	2018-12-14
v18.14.19-stable	2018-12-19
v18.14.18-stable	2018-12-04
v18.14.17-stable	2018-11-29
v18.14.15-stable	2018-11-21
v18.14.14-stable	2018-11-20
v18.14.13-stable	2018-11-07
v18.14.12-stable	2018-11-01
v18.14.11-stable	2018-10-26
v18.14.10-stable	2018-10-23
v18.14.9-stable	2018-10-16
v18.14.8-stable	2018-10-13
v18.12.17-stable	2018-09-16
v18.12.14-stable	2018-09-13
v18.12.13-stable	2018-09-10
v1.1.54390-stable	2018-07-06
v1.1.54388-stable	2018-06-27
v1.1.54385-stable	2018-06-01
v1.1.54383-stable	2018-05-18
v1.1.54381-stable	2018-04-26
v1.1.54380-stable	2018-04-20
v1.1.54378-stable	2018-04-13
v1.1.54370-stable	2018-03-16
v1.1.54362-stable	2018-03-10
v1.1.54358-stable	2018-03-08
v1.1.54343-stable	2018-01-24
v1.1.54342-stable	2018-01-22
v1.1.54337-stable	2018-01-17
v1.1.54336-stable	2018-01-16
v1.1.54335-stable	2018-01-16
v1.1.54327-stable	2017-12-20
v1.1.54318-stable	2017-11-30
v1.1.54310-stable	2017-11-01
v1.1.54304-stable	2017-10-19
v1.1.54292-stable	2017-09-20
v1.1.54289-stable	2017-09-13
v1.1.54284-stable	2017-08-29
v1.1.54282-stable	2017-08-23
v1.1.54276-stable	2017-08-16
v1.1.54245-stable	2017-07-04
v1.1.54242-stable	2017-06-26
v1.1.54236-stable	2017-05-23
v1.1.54231-stable	2017-04-29
v1.1.54198-stable	2017-03-28
v1.1.54190-stable	2017-03-21
v1.1.54188-stable	2017-03-17
v1.1.54181-stable	2017-03-09
v1.1.54165-stable	2017-02-14
v1.1.54159-stable	2017-02-03
v1.1.54144-stable	2017-01-31
v1.1.54135-stable	2017-01-20
v1.1.54134-stable	2017-01-14
v1.1.54133-stable	2017-01-12
v1.1.54127-stable	2016-12-22
v1.1.54112-stable	2016-12-08
v1.1.54083-stable	2016-11-28
v1.1.54080-stable	2016-11-25
v1.1.54074-stable	2016-11-23
v1.1.54046-stable	2016-10-27
v1.1.54030-stable	2016-10-24
v1.1.54023-stable	2016-10-07
v1.1.54022-stable	2016-09-26
v1.1.54020-stable	2016-09-19
v1.1.54019-stable	2016-09-07
